stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,postal_code
12253,12253.0,112th Street & Avenue B,"112th Street & Avenue B, Eastbound, Southside of the Street",41.69170776,-87.52594856,0,,1,60617
12254,12254.0,Avenue B & 111th Street,"Avenue B & 111th Street, Northbound, Southeast Corner",41.69355511,-87.52574875,0,,1,60617
12255,12255.0,Avenue B & 110th Street,"Avenue B & 110th Street, Northbound, Southeast Corner",41.6953105,-87.52570970000002,0,,1,60617
12256,12256.0,Avenue B & 109th Street,"Avenue B & 109th Street, Northbound, Southeast Corner",41.6971105,-87.52570971,0,,1,60617
12257,12257.0,Avenue B & 108th Street,"Avenue B & 108th Street, Northbound, Southeast Corner",41.6989115,-87.52570872,0,,1,60617
12258,12258.0,Avenue B & 107th Street,"Avenue B & 107th Street, Northbound, Southeast Corner",41.70079426,-87.52569948,0,,1,60617
12259,12259.0,106th Street & Avenue B,"106th Street & Avenue B, Westbound, Northeast Corner",41.70278753,-87.52661153,0,,1,60617
12260,12260.0,106th Street & Avenue D,"106th Street & Avenue D, Westbound, Northside of the Street",41.70277166,-87.52829283,0,,1,60617
12261,12261.0,106th Street & Avenue F,"106th Street & Avenue F, Westbound, Northeast Corner",41.70277418,-87.53035522,0,,1,60617
12263,12263.0,106th Street & Avenue H,"106th Street & Avenue H, Westbound, Northeast Corner",41.70279301,-87.53277539,0,,1,60617
12267,12267.0,106th Street & Avenue O,"106th Street & Avenue O, Westbound, Northeast Corner",41.70281547,-87.53999099,0,,1,60617
12269,12269.0,106th Street & Mackinaw,"106th Street & Mackinaw, Westbound, Northside of the Street",41.70285059,-87.54242196,0,,1,60617
12271,12271.0,3033 E 106th Street,"3033 E 106th Street, Westbound, Northside of the Street",41.70284261,-87.5485546,0,,1,60617
12272,12272.0,106th Street & Muskegon,"106th Street & Muskegon, Westbound, Northeast Corner",41.70284488,-87.554664,0,,1,60617
12273,12273.0,2800 E 106th Street,"2800 E 106th Street, Westbound, Northside of the Street",41.70284888,-87.55613199,0,,1,60617
12275,12275.0,106th Street & Torrence,"106th Street & Torrence, Westbound, Northeast Corner",41.70284687,-87.55936199,0,,1,60617
12278,12278.0,1100 E 103rd Street,"1100 E 103rd Street, Westbound, Northside of the Street",41.70767682,-87.59593336,0,,1,60628
12279,12279.0,1000 E 103rd Street,"1000 E 103rd Street, Westbound, Northside of the Street",41.70761093,-87.59912626,0,,1,60628
12280,12280.0,900 E 103rd Street,"900 E 103rd Street, Westbound, Northside of the Street",41.70758193,-87.60145626,0,,1,60628
12281,12281.0,103rd Street & Corliss,"103rd Street & Corliss, Westbound, Northside of the Street",41.70755393,-87.60395426,0,,1,60628
12282,12282.0,103rd Street & Cottage Grove,"103rd Street & Cottage Grove, Westbound, Northeast Corner",41.7075071,-87.60630218,0,,1,60628
12283,12283.0,103rd Street & St. Lawrence,"103rd Street & St. Lawrence, Westbound, Northeast Corner",41.70745471,-87.60877689,0,,1,60628
12285,12285.0,103rd Street & Eberhart,"103rd Street & Eberhart, Westbound, Northeast Corner",41.70741665,-87.61119526,0,,1,60628
12287,12287.0,103rd Street & King Drive,"103rd Street & King Drive, Westbound, Northeast Corner",41.70738428,-87.61362194,0,,1,60628
12288,12288.0,103rd Street & Calumet,"103rd Street & Calumet, Westbound, Northeast Corner",41.70735929,-87.6148869,0,,1,60628
12289,12289.0,103rd Street & Forest,"103rd Street & Forest, Westbound, Northeast Corner",41.70734106,-87.61608974,0,,1,60628
12290,12290.0,103rd Street & Prairie,"103rd Street & Prairie, Westbound, Northeast Corner",41.70732338,-87.61731558,0,,1,60628
12291,12291.0,103rd Street & Indiana,"103rd Street & Indiana, Westbound, Northeast Corner",41.70730326,-87.61852819,0,,1,60628
12292,12292.0,103rd Street & Michigan,"103rd Street & Michigan, Westbound, Northeast Corner",41.70728631,-87.62004118,0,,1,60628
