Zipcode,Total,Car Truck Van,Drove Alone,Carpool,Carpool 2 People,Carpool 3 People,Carpool 4 or more,Public Transportation,Bus,Streetcar,Subway or El,Railroad,Ferryboat,Bicycle,Walk,Taxi Motorcycle Other,Work from Home,Area,success_count
60601,8665.0,2069.0,1713.0,356.0,113.0,243.0,0.0,1544.0,491.0,0.0,683.0,370.0,0.0,175.0,3927.0,204.0,746.0,Central,4.0
60608,32686.0,18176.0,14785.0,3391.0,2288.0,482.0,621.0,9526.0,5169.0,105.0,3874.0,368.0,10.0,1404.0,1824.0,605.0,1151.0,South Side,36.0
60620,24345.0,15810.0,14024.0,1786.0,1626.0,139.0,21.0,7059.0,4820.0,97.0,1542.0,600.0,0.0,25.0,284.0,236.0,931.0,Far South West Side,3.0
60634,37362.0,31002.0,27704.0,3298.0,2498.0,485.0,315.0,4107.0,2590.0,0.0,865.0,652.0,0.0,168.0,667.0,645.0,773.0,North West Side,33.0
60637,16110.0,6948.0,6139.0,809.0,610.0,81.0,118.0,5030.0,3435.0,37.0,1065.0,493.0,0.0,285.0,2732.0,228.0,887.0,South Side,3.0
60644,15608.0,8612.0,7733.0,879.0,558.0,204.0,117.0,5808.0,5076.0,47.0,644.0,41.0,0.0,86.0,526.0,178.0,398.0,West Side,1.0
60605,16693.0,6187.0,5568.0,619.0,449.0,136.0,34.0,4469.0,1729.0,11.0,2538.0,191.0,0.0,533.0,3610.0,740.0,1154.0,Central,24.0
60606,2338.0,558.0,558.0,0.0,0.0,0.0,0.0,424.0,128.0,0.0,202.0,94.0,0.0,34.0,897.0,98.0,327.0,Central,10.0
60623,32103.0,21893.0,16086.0,5807.0,3317.0,817.0,1673.0,6684.0,4498.0,196.0,1714.0,276.0,0.0,234.0,1951.0,269.0,1072.0,West Side,10.0
60629,44464.0,33566.0,27104.0,6462.0,4696.0,1051.0,715.0,8199.0,4411.0,56.0,3583.0,149.0,0.0,213.0,1548.0,141.0,797.0,South West Side,13.0
60633,5612.0,4628.0,4197.0,431.0,371.0,39.0,21.0,750.0,462.0,0.0,84.0,204.0,0.0,0.0,157.0,28.0,49.0,Far South East Side,3.0
60638,26783.0,22363.0,20107.0,2256.0,1461.0,592.0,203.0,3369.0,1157.0,0.0,1867.0,345.0,0.0,115.0,380.0,132.0,424.0,South West Side,9.0
60640,39397.0,15042.0,13461.0,1581.0,1310.0,215.0,56.0,17823.0,5624.0,45.0,10607.0,1547.0,0.0,1141.0,1899.0,839.0,2653.0,Far North Side,60.0
60649,16577.0,8552.0,7566.0,986.0,806.0,151.0,29.0,6557.0,5498.0,34.0,795.0,230.0,0.0,28.0,442.0,232.0,766.0,South Side,4.0
60655,14397.0,12507.0,11614.0,893.0,692.0,42.0,159.0,1117.0,229.0,0.0,157.0,731.0,0.0,14.0,369.0,70.0,320.0,Far South West Side,3.0
60661,6982.0,1686.0,1625.0,61.0,33.0,28.0,0.0,1248.0,404.0,0.0,435.0,409.0,0.0,46.0,3527.0,181.0,294.0,Central,16.0
60631,15123.0,12416.0,11709.0,707.0,624.0,54.0,29.0,1583.0,276.0,0.0,654.0,653.0,0.0,139.0,258.0,97.0,630.0,Far North Side,9.0
60610,25375.0,7557.0,6568.0,989.0,786.0,185.0,18.0,9218.0,3980.0,0.0,5083.0,155.0,0.0,447.0,4508.0,1689.0,1956.0,Central,15.0
60622,35672.0,16584.0,14098.0,2486.0,2087.0,308.0,91.0,12343.0,5120.0,47.0,6596.0,580.0,0.0,1742.0,1813.0,630.0,2560.0,West Side,63.0
60660,23989.0,9890.0,8528.0,1362.0,1206.0,102.0,54.0,10052.0,3389.0,133.0,5955.0,575.0,0.0,476.0,1549.0,615.0,1407.0,Far North Side,20.0
60602,880.0,80.0,80.0,0.0,0.0,0.0,0.0,187.0,27.0,0.0,104.0,56.0,0.0,0.0,514.0,0.0,99.0,Central,9.0
