Population,English,Spanish,French,Italian,Portuguese,German,Greek,Russian,Polish,Chinese,Japanese,Korean,Thai,Vietnamese,Arabic,Zipcode
88269.0,47417.0,31631.0,255.0,81.0,47.0,207.0,119.0,129.0,454.0,260.0,54.0,98.0,46.0,39.0,80.0,60647
45305.0,39472.0,885.0,440.0,22.0,0.0,22.0,0.0,0.0,3.0,19.0,78.0,25.0,10.0,0.0,20.0,60649
61287.0,39321.0,17026.0,114.0,4.0,0.0,18.0,0.0,17.0,73.0,9.0,20.0,32.0,0.0,0.0,18.0,60651
42176.0,25782.0,12271.0,50.0,87.0,16.0,28.0,58.0,26.0,214.0,41.0,21.0,10.0,0.0,0.0,375.0,60652
30683.0,26740.0,536.0,143.0,0.0,30.0,15.0,15.0,4.0,16.0,33.0,1.0,7.0,3.0,38.0,20.0,60653
15934.0,12818.0,573.0,127.0,93.0,35.0,52.0,32.0,121.0,31.0,255.0,118.0,126.0,0.0,0.0,158.0,60654
28479.0,24750.0,766.0,0.0,40.0,8.0,65.0,38.0,10.0,49.0,57.0,17.0,49.0,15.0,0.0,28.0,60655
28526.0,14169.0,2055.0,27.0,704.0,9.0,179.0,274.0,140.0,3800.0,137.0,0.0,25.0,20.0,10.0,1010.0,60656
69147.0,55901.0,2905.0,452.0,190.0,165.0,335.0,138.0,284.0,412.0,602.0,259.0,250.0,58.0,223.0,311.0,60657
38276.0,12395.0,5870.0,85.0,35.0,19.0,198.0,525.0,199.0,150.0,850.0,119.0,437.0,42.0,913.0,1539.0,60659
40719.0,24279.0,5930.0,304.0,151.0,40.0,175.0,128.0,343.0,350.0,444.0,159.0,121.0,144.0,434.0,193.0,60660
8875.0,5629.0,375.0,107.0,28.0,8.0,29.0,17.0,28.0,0.0,941.0,30.0,158.0,26.0,10.0,39.0,60661
